gene_symbol,mrna_hl_h
ATP5PO,24.0
ATP6AP1,24.0
ATP6AP2,24.0
ATP6V0A1,15.6666666666667
ATP6V0A2,10.5806451612903
ATP6V0B,16.1379310344828
ATP6V0C,24.0
ATP6V0D1,12.972972972973
ATP6V0E1,6.11764705882353
ATP6V0E2,15.6521739130435
ATP6V1A,15.4736842105263
ATP6V1B1,2.17391304347826
ATP6V1B2,8.73684210526316
ATP6V1C1,8.51612903225806
ATP6V1C2,24.0
ATP6V1D,10.6666666666667
ATP6V1E1,8.57142857142857
ATP6V1F,16.258064516129
ATP6V1G1,6.72727272727273
ATP6V1H,8.375
ATP7A,8.90909090909091
ATP7B,4.5
ATP8A1,2.27272727272727
ATP8B1,2.35294117647059
ATP8B2,8.36363636363636
ATP8B3,10.4444444444444
ATP9A,8.33333333333333
ATP9B,3.03030303030303
ATPAF1,11.6923076923077
ATPAF2,3.84615384615385
ATPSCKMT,3.2258064516129
ATR,3.33333333333333
ATRAID,24.0
ATRN,10.5263157894737
ATRX,2.89855072463768
ATXN1,2.56410256410256
ATXN10,20.5714285714286
ATXN2,2.77777777777778
ATXN2L,10.0
ATXN3,2.8169014084507
ATXN7,2.53164556962025
ATXN7L1,2.24719101123596
ATXN7L2,2.7027027027027
AUH,2.98507462686567
AUNIP,2.38095238095238
AUP1,16.4571428571429
AURKA,3.44827586206897
AURKB,4.88888888888889
AUTS2,2.5
AVEN,3.7037037037037
AVIL,4.0
AVL9,3.57142857142857
AVPI1,2.46913580246914
AXIN1,3.77358490566038
AXL,24.0
AZI2,8.0
AZIN1,6.66666666666667
AZIN2,3.63636363636364
B2M,24.0
B3GALNT1,6.11764705882353
B3GALNT2,5.71428571428571
B3GALT6,2.77777777777778
B3GAT2,6.54545454545454
B3GAT3,10.75
B3GLCT,9.94871794871795
B3GNT2,2.17391304347826
B3GNT9,3.77358490566038
B4GALNT1,6.32258064516129
B4GALNT4,7.125
B4GALT1,8.44444444444444
B4GALT2,10.1176470588235
B4GALT3,6.75862068965517
B4GALT4,4.0
B4GALT5,2.63157894736842
B4GALT6,2.4390243902439
B4GALT7,6.82352941176471
B4GAT1,7.15789473684211
B9D1,2.46913580246914
B9D2,3.63636363636364
BAALC,2.53164556962025
