gene,h3k27me3_gm,h3k36me3_gm,mae_pred_gm,mae_prob_gm,h3k27me3_k5,h3k36me3_k5,mae_pred_k5,mae_prob_k5,switch,is_sig_paralog,is_nsig_paralog
TOM1,0.6097704532077692,0.5881534592541067,0,0.4911765986506511,0.45454545454545453,0.572613441780822,0,0.3613717627099225,BAE in both,False,True
PDLIM7,0.5524105088554765,0.5476483492963775,0,0.4846363124517095,0.5601690834180534,0.7247431506849316,0,0.2884167517206556,BAE in both,False,True
PANO1,0.03841832093744984,0.03429825030766761,1,0.6093513644711313,0.5459896195623094,0.5131635273972602,1,0.5207612677075156,MAE in both,False,False
ATP5F1,0.06292471507303761,0.8545133500989887,0,0.029360747162430225,0.42083578575632724,0.986943493150685,0,0.06051351509986292,BAE in both,False,False
PCDHGB7,0.7413986837176949,0.4731660334956391,1,0.7405438118475822,0.8640376692171866,0.4752782534246575,1,0.8206637091041538,MAE in both,False,False
KRTAP10-6,0.030178179677885386,0.012761517470169619,1,0.6267341505202233,0.09765102466691637,0.12141481164383562,1,0.5618280997772164,MAE in both,False,False
CAAP1,0.19663973460324255,0.7395794317512976,0,0.08269687253193134,0.04409010647974745,0.7116866438356164,0,0.053706635352467905,BAE in both,False,False
HSPB8,0.7980095243191182,0.38760768366418746,1,0.8445983231490806,0.8770934774466264,0.1547517123287671,1,0.958936270738463,MAE in both,False,True
DUSP14,0.28481994756273743,0.5730108620043876,0,0.22459892377797164,0.3491893627267377,0.6535744863013698,0,0.2005937684029554,BAE in both,False,True
CNTRL,0.0573064369415164,0.9058269570335491,0,0.022464443459281322,0.13130718604526728,0.7654644691780822,0,0.057826270256787146,BAE in both,False,False
ATHL1,0.7492642731018246,0.4135052704799615,1,0.7979530109151218,0.5777195141527102,0.6805436643835616,0,0.35060624421912356,MAE→BAE (lost in cancer),False,False
TNRC6B,0.3616030820268607,0.6261972283161218,0,0.23166588888090428,0.325111027877361,0.6090004280821918,0,0.22135321693587426,BAE in both,False,True
PSMA6,0.187703997003585,0.7280753384343731,0,0.08434261019294882,0.12263898549949168,0.7937178938356164,0,0.04907965972451935,BAE in both,False,True
PTCD1,0.5239445663224357,0.8223018888116004,0,0.1785743931181355,0.2078227834555086,0.7845141267123288,0,0.07020456670543856,BAE in both,False,False
UNC80,0.6811493391834769,0.32248916474931777,1,0.8254637712110808,0.1246722671089946,0.3104130993150685,0,0.3598835591015673,MAE→BAE (lost in cancer),False,False
METTL24,0.8105837658515704,0.3299802022580127,1,0.8835113990702013,0.7905184868104232,0.2871896404109589,1,0.8964051069676767,MAE in both,False,False
CMPK2,0.29691262239820215,0.5976777783723045,0,0.21199050865078797,0.5902937556851624,0.6443707191780822,0,0.40401363647168376,BAE in both,False,False
CFAP53,0.8311306115897051,0.3780833645459896,1,0.8664639224230274,0.22173471025737065,0.5698844178082192,0,0.1866628530013765,MAE→BAE (lost in cancer),False,False
UROS,0.1626625287602333,0.883995933436781,0,0.03728649624961405,0.48515169350955106,0.8634417808219178,0,0.1322458465543154,BAE in both,False,False
FBXO34,0.2857295735459361,0.5870833110385788,0,0.2133603200332719,0.25405318636631175,0.6821489726027398,0,0.13038393215116756,BAE in both,False,True
SDF4,0.4270961528171652,0.8104232436192412,0,0.13604505106841328,0.6861255283856814,0.7684075342465754,0,0.34918757191300653,BAE in both,False,True
